Sample # ,d18o,d13c,Stratigraphic level (m),Lithology ,Formation,UTM ,GPS X,GPS Y
B483 ,-3.51,-0.2,298.562,calcisiltite ,Becscie,,,
B484 ,-3.66,-0.22,299.246,calcisiltite ,Becscie,,,
B485 ,-3.84,-0.27,299.93,calcisiltite ,Becscie,,,
B486 ,-3.69,0.03,300.614,calcisiltite ,Becscie,20U ,405390,5514765
B487 ,-3.89,-0.1,301.298,calcisiltite ,Becscie,,,
B488 ,-3.62,-0.21,301.982,calcilutite ,Becscie,,,
B489 ,-3.49,-0.66,302.666,calcilutite/calcisiltite ,Becscie,,,
B490 ,-3.58,-0.19,303.35,calcilutite/calcisiltite ,Becscie,,,
B491 ,-3.77,-0.61,304.034,calcilutite/calcisiltite ,Becscie,,,
B492 ,-3.74,0.05,304.718,calcilutite ,Becscie,20U ,406014,5514397
B493 ,-3.84,-0.56,305.402,calcilutite ,Becscie,,,
B494 ,-3.68,-0.2,306.086,calcilutite ,Becscie,,,
B495 ,-3.79,-0.29,306.77,calcisiltite ,Becscie,,,
B496 ,-3.62,0.05,307.454,calcisiltite ,Becscie,20U ,406299,5514219
B497 ,-3.86,-0.14,308.138,calcilutite/calcisiltite ,Becscie,,,
B498 ,-3.88,-0.45,308.822,calcisiltite ,Becscie,20U ,406302,5514160
B499 ,-3.8,-0.65,309.506,calcilutite/calcisiltite ,Becscie,,,
B500 ,-3.94,-0.51,310.19,calcisiltite ,Becscie,,,
B501 ,-4.05,-0.75,310.874,calcilutite ,Becscie,20U ,406454,5514034
B502 ,-3.8,0.04,311.558,calcilutite/calcisiltite ,Becscie,,,
B503 ,-3.82,-0.21,312.242,calcilutite/calcisiltite ,Becscie,,,
B504 ,-3.81,-0.21,312.926,calcilutite ,Becscie,,,
B505 ,-3.89,-0.75,313.61,calcilutite/calcisiltite ,Becscie,,,
B506 ,-3.79,-0.4,314.294,calcilutite/calcisiltite ,Becscie,,,
B507 ,-4.06,-0.37,314.978,calcisiltite ,Becscie,20U ,406436,5513849
B508 ,-4.6,-0.31,315.662,calcisiltite ,Becscie,,,
B509 ,-4.17,-0.28,316.346,calcisiltite ,Becscie,,,
