carbon,oxygen,feet,,,,,,,,,,,,,
-0.05,-4.78,1989,,,,,,,,,,,,,
0.07,-4.79,1989,,,,,,,,,,,,,
-0.49,-4.56,2004,,,,,,,,,,,,,
-0.40,-4.47,2004,,,,,,,,,,,,,
-0.11,-4.94,2016,,,,,,,,,,,,,
-0.19,-5.19,2016,,,,,,,,,,,,,
0.28,-4.71,2034,,,,,,,,,,,,,
0.25,-4.87,2034,,,,,,,,,,,,,
-0.06,-4.49,2049,,,,,,,,,,,,,
0.06,-4.53,2049,,,,,,,,,,,,,
0.59,-4.54,2064,,,,,,,,,,,,,
0.67,-4.49,2064,,,,,,,,,,,,,
0.28,-4.78,2079,,,,,,,,,,,,,
0.43,-5.23,2094,,,,,,,,,,,,,
0.42,-5.39,2094,,,,,,,,,,,,,
0.48,-4.51,2109,,,,,,,,,,,,,
0.51,-4.63,2109,,,,,,,,,,,,,
0.63,-4.41,2124,,,,,,,,,,,,,
0.65,-4.59,2124,,,,,,,,,,,,,
0.42,-4.47,2139,,,,,,,,,,,,,
0.53,-4.36,2139,,,,,,,,,,,,,
0.40,-4.68,2154,,,,,,,,,,,,,
0.34,-4.90,2154,,,,,,,,,,,,,
-0.03,-4.99,2169,,,,,,,,,,,,,
0.02,-5.09,2169,,,,,,,,,,,,,
0.74,-4.22,2184,,,,,,,,,,,,,
0.82,-4.16,2184,,,,,,,,,,,,,
0.73,-4.69,2199,,,,,,,,,,,,,
0.70,-5.11,2214,,,,,,,,,,,,,
0.71,-5.18,2214,,,,,,,,,,,,,
1.10,-4.83,2229,,,,,,,,,,,,,
0.88,-4.69,2247,,,,,,,,,,,,,
0.79,-5.00,2247,,,,,,,,,,,,,
0.75,-5.08,2259,,,,,,,,,,,,,
0.87,-5.00,2259,,,,,,,,,,,,,
0.35,-5.01,2274,,,,,,,,,,,,,
0.85,-5.24,2289,,,,,,,,,,,,,
1.14,-5.00,2289,,,,,,,,,,,,,
1.03,-5.05,2304,,,,,,,,,,,,,
1.12,-4.98,2304,,,,,,,,,,,,,
0.97,-5.23,2319,,,,,,,,,,,,,
0.99,-5.49,2319,,,,,,,,,,,,,
0.29,-4.25,2334,,,,,,,,,,,,,
0.36,-4.11,2334,,,,,,,,,,,,,
1.11,-4.18,2349,,,,,,,,,,,,,
1.12,-4.38,2349,,,,,,,,,,,,,
0.72,-4.01,2364,,,,,,,,,,,,,
1.08,-3.50,2379,,,,,,,,,,,,,
0.97,-3.60,2394,,,,,,,,,,,,,
1.20,-4.75,2409,,,,,,,,,,,,,
0.76,-5.03,2424,,,,,,,,,,,,,
0.81,-4.72,2439,,,,,,,,,,,,,
-0.53,-4.27,2454,,,,,,,,,,,,,
1.43,-4.32,2469,,,,,,,,,,,,,
0.55,-4.15,2486,,,,,,,,,,,,,
1.32,-4.90,2499,,,,,,,,,,,,,
-3.79,-6.27,2515.5,,,,,,,,,,,,,
0.49,-4.67,2529,,,,,,,,,,,,,
1.09,-4.78,2544,,,,,,,,,,,,,
1.02,-4.53,2559,,,,,,,,,,,,,
1.42,-4.32,2574,,,,,,,,,,,,,
1.12,-4.87,2589,,,,,,,,,,,,,
1.06,-4.38,2604,,,,,,,,,,,,,
1.01,-5.19,2619,,,,,,,,,,,,,
0.97,-4.98,2634,,,,,,,,,,,,,
1.33,-4.87,2649,,,,,,,,,,,,,
1.38,-4.62,2664,,,,,,,,,,,,,
1.26,-5.52,2679,,,,,,,,,,,,,
1.54,-4.96,2694,,,,,,,,,,,,,
1.27,-4.57,2709,,,,,,,,,,,,,
0.74,-5.14,2724,,,,,,,,,,,,,
1.13,-4.97,2739,,,,,,,,,,,,,
0.95,-4.65,2754,,,,,,,,,,,,,
1.17,-5.05,2769,,,,,,,,,,,,,
0.89,-5.04,2781,,,,,,,,,,,,,
0.53,-3.61,2799,,,,,,,,,,,,,
1.05,-4.63,2814,,,,,,,,,,,,,
1.11,-4.62,2829,,,,,,,,,,,,,
1.32,-4.86,2844,,,,,,,,,,,,,
0.88,-4.88,2859,,,,,,,,,,,,,
0.84,-5.06,2874,,,,,,,,,,,,,
0.78,-4.85,2889,,,,,,,,,,,,,
0.89,-4.49,2904,,,,,,,,,,,,,
0.68,-4.99,2919,,,,,,,,,,,,,
1.11,-5.35,2934,,,,,,,,,,,,,
1.18,-4.31,2949,,,,,,,,,,,,,
1.06,-4.52,2964,,,,,,,,,,,,,
1.02,-4.95,2979,,,,,,,,,,,,,
1.12,-4.66,2994,,,,,,,,,,,,,
1.31,-4.98,3006,,,,,,,,,,,,,
0.73,-4.18,3023,,,,,,,,,,,,,
1.05,-5.24,3038,,,,,,,,,,,,,
0.99,-4.79,3053,,,,,,,,,,,,,
0.59,-3.72,3070,,,,,,,,,,,,,
0.64,-4.29,3085,,,,,,,,,,,,,
0.15,-4.12,3100,,,,,,,,,,,,,
0.14,-4.33,3115,,,,,,,,,,,,,
-0.61,-5.96,3130,,,,,,,,,,,,,
-0.06,-5.74,3145,,,,,,,,,,,,,
0.81,-6.46,3160,,,,,,,,,,,,,
1.14,-6.43,3175,,,,,,,,,,,,,
1.25,-6.05,3190,,,,,,,,,,,,,
0.75,-6.62,3205,,,,,,,,,,,,,
1.15,-7.01,3220,,,,,,,,,,,,,
1.07,-6.96,3235,,,,,,,,,,,,,
0.68,-6.92,3253,,,,,,,,,,,,,
0.30,-7.33,3265,,,,,,,,,,,,,
0.64,-7.03,3280,,,,,,,,,,,,,
0.44,-7.58,3295,,,,,,,,,,,,,
0.66,-7.25,3310,,,,,,,,,,,,,
0.41,-7.32,3325,,,,,,,,,,,,,
-0.29,-6.59,3340,,,,,,,,,,,,,
0.86,-6.40,3355,,,,,,,,,,,,,
0.55,-6.56,3371,,,,,,,,,,,,,
-0.60,-7.08,3386,,,,,,,,,,,,,
-0.04,-7.39,3401,,,,,,,,,,,,,
0.33,-7.30,3416,,,,,,,,,,,,,
0.21,-6.06,3431,,,,,,,,,,,,,
-0.10,-7.93,3446,,,,,,,,,,,,,
0.69,-6.12,3461,,,,,,,,,,,,,
0.11,-6.89,3476,,,,,,,,,,,,,
0.27,-7.22,3491,,,,,,,,,,,,,
-0.04,-7.08,3506,,,,,,,,,,,,,
0.44,-7.58,3521,,,,,,,,,,,,,
-0.27,-8.27,3536,,,,,,,,,,,,,
0.42,-7.66,3551,,,,,,,,,,,,,
0.49,-7.45,3566,,,,,,,,,,,,,
0.44,-7.49,3581,,,,,,,,,,,,,
0.61,-6.93,3596,,,,,,,,,,,,,
1.03,-6.56,3611,,,,,,,,,,,,,
0.61,-6.59,3626,,,,,,,,,,,,,
0.67,-6.78,3641,,,,,,,,,,,,,
0.61,-6.66,3656,,,,,,,,,,,,,
0.75,-6.94,3671,,,,,,,,,,,,,
0.81,-7.02,3686,,,,,,,,,,,,,
0.72,-7.03,3701,,,,,,,,,,,,,
0.57,-7.24,3716,,,,,,,,,,,,,
0.69,-6.98,3731,,,,,,,,,,,,,
0.70,-7.38,3746,,,,,,,,,,,,,
0.72,-7.01,3760,,,,,,,,,,,,,
0.26,-7.56,3775,,,,,,,,,,,,,
0.70,-6.95,3792,,,,,,,,,,,,,
0.31,-7.53,3807,,,,,,,,,,,,,
0.27,-7.30,3822,,,,,,,,,,,,,
-0.25,-7.47,3852,,,,,,,,,,,,,
-0.98,-7.48,3867,,,,,,,,,,,,,
-0.70,-8.56,3876,,,,,,,,,,,,,
-1.11,-8.03,3885,,,,,,,,,,,,,
-0.83,-7.46,3894,,,,,,,,,,,,,
-1.59,-8.61,3909,,,,,,,,,,,,,
-2.09,-9.11,3915,,,,,,,,,,,,,
-1.59,-8.80,3924,,,,,,,,,,,,,
-3.00,-10.06,3933,,,,,,,,,,,,,
-2.75,-8.30,3939,,,,,,,,,,,,,
-3.33,-9.25,3945,,,,,,,,,,,,,
-3.25,-9.35,3954,,,,,,,,,,,,,
-0.61,-7.07,3963,,,,,,,,,,,,,
-0.22,-6.70,3969,,,,,,,,,,,,,
-1.40,-5.61,3972,,,,,,,,,,,,,
-2.26,-8.48,3980,,,,,,,,,,,,,
-1.68,-7.71,3984,,,,,,,,,,,,,
-1.96,-8.96,3991,,,,,,,,,,,,,
-1.86,-6.69,3993,,,,,,,,,,,,,
-1.08,-5.19,3999,,,,,,,,,,,,,
-0.96,-5.20,4005,,,,,,,,,,,,,
-0.61,-4.84,4014,,,,,,,,,,,,,
-1.38,-4.20,4020,,,,,,,,,,,,,
-1.05,-5.34,4032,,,,,,,,,,,,,
-1.39,-5.18,4044,,,,,,,,,,,,,
-0.30,-4.54,4059,,,,,,,,,,,,,
-0.87,-4.73,4074,,,,,,,,,,,,,
-0.64,-4.91,4089,,,,,,,,,,,,,
-3.04,-5.45,4106,,,,,,,,,,,,,
-3.51,-4.82,4119,,,,,,,,,,,,,
-4.33,-5.66,4134,,,,,,,,,,,,,
-1.69,-3.74,4149,,,,,,,,,,,,,
-0.16,-6.25,4164,,,,,,,,,,,,,
0.42,-5.42,4179,,,,,,,,,,,,,
-0.14,-5.91,4194,,,,,,,,,,,,,
-0.19,-6.28,4209,,,,,,,,,,,,,
-0.27,-5.73,4224,,,,,,,,,,,,,
-0.36,-5.84,4239,,,,,,,,,,,,,
-0.83,-5.89,4254,,,,,,,,,,,,,
-0.83,-5.77,4269,,,,,,,,,,,,,
-0.91,-5.62,4284,,,,,,,,,,,,,
-0.90,-5.57,4299,,,,,,,,,,,,,
-1.03,-5.99,4314,,,,,,,,,,,,,
-0.73,-5.72,4329,,,,,,,,,,,,,
-1.31,-5.79,4344,,,,,,,,,,,,,
-0.55,-5.59,4350,,,,,,,,,,,,,
-0.43,-5.61,4353,,,,,,,,,,,,,
-0.56,-5.57,4356,,,,,,,,,,,,,
-0.56,-5.68,4359,,,,,,,,,,,,,
-0.42,-5.27,4359,,,,,,,,,,,,,
-0.38,-5.35,4362,,,,,,,,,,,,,
-0.40,-5.69,4365,,,,,,,,,,,,,
-0.66,-5.35,4368,,,,,,,,,,,,,
-0.33,-5.73,4371,,,,,,,,,,,,,
-0.32,-5.39,4374,,,,,,,,,,,,,
-0.32,-5.51,4374,,,,,,,,,,,,,
-0.49,-5.75,4377,,,,,,,,,,,,,
-0.32,-4.82,4380,,,,,,,,,,,,,
-0.34,-5.35,4383,,,,,,,,,,,,,
-0.47,-5.88,4386,,,,,,,,,,,,,
-0.77,-5.73,4389,,,,,,,,,,,,,
-0.79,-5.95,4389,,,,,,,,,,,,,
-0.77,-5.83,4392,,,,,,,,,,,,,
-2.60,-5.70,4395,,,,,,,,,,,,,
-1.41,-5.23,4398,,,,,,,,,,,,,
-1.03,-5.51,4404,,,,,,,,,,,,,
-0.49,-4.06,4404,,,,,,,,,,,,,
-1.02,-5.62,4407,,,,,,,,,,,,,
-0.73,-5.86,4410,,,,,,,,,,,,,
-1.14,-5.70,4413,,,,,,,,,,,,,
-1.18,-5.94,4416,,,,,,,,,,,,,
-1.15,-5.66,4422,,,,,,,,,,,,,
-1.24,-5.92,4422,,,,,,,,,,,,,
-1.54,-5.55,4425,,,,,,,,,,,,,
-1.52,-5.51,4428,,,,,,,,,,,,,
-1.21,-5.94,4431,,,,,,,,,,,,,
-1.47,-5.19,4434,,,,,,,,,,,,,
-1.51,-5.46,4436,,,,,,,,,,,,,
-1.38,-5.31,4436,,,,,,,,,,,,,
-1.25,-5.82,4437,,,,,,,,,,,,,
-1.08,-5.94,4440,,,,,,,,,,,,,
-1.28,-5.76,4449,,,,,,,,,,,,,
-1.18,-5.42,4449,,,,,,,,,,,,,
-1.03,-6.03,4452,,,,,,,,,,,,,
-0.55,-5.94,4455,,,,,,,,,,,,,
-0.27,-5.85,4458,,,,,,,,,,,,,
-0.12,-6.11,4461,,,,,,,,,,,,,
-0.39,-6.72,4464,,,,,,,,,,,,,
-0.13,-6.36,4464,,,,,,,,,,,,,
0.02,-5.72,4467,,,,,,,,,,,,,
-0.30,-6.57,4470,,,,,,,,,,,,,
-0.06,-6.30,4473,,,,,,,,,,,,,
-0.06,-6.08,4476,,,,,,,,,,,,,
-0.09,-6.16,4479,,,,,,,,,,,,,
-0.15,-6.45,4479,,,,,,,,,,,,,
0.13,-6.33,4482,,,,,,,,,,,,,
0.08,-6.15,4485,,,,,,,,,,,,,
-0.12,-6.26,4488,,,,,,,,,,,,,
-0.13,-6.12,4491,,,,,,,,,,,,,
-0.26,-6.54,4494,,,,,,,,,,,,,
-0.13,-6.41,4494,,,,,,,,,,,,,
0.16,-5.92,4497,,,,,,,,,,,,,
0.00,-5.86,4500,,,,,,,,,,,,,
-0.15,-6.24,4503,,,,,,,,,,,,,
-0.19,-5.59,4506,,,,,,,,,,,,,
-0.38,-6.02,4509,,,,,,,,,,,,,
-0.29,-5.94,4509,,,,,,,,,,,,,
-0.17,-5.25,4512,,,,,,,,,,,,,
-0.17,-5.70,4515,,,,,,,,,,,,,
-0.10,-5.32,4518,,,,,,,,,,,,,
-0.09,-5.33,4521,,,,,,,,,,,,,
-0.21,-6.07,4524,,,,,,,,,,,,,
-0.14,-5.77,4524,,,,,,,,,,,,,
-0.19,-4.15,4527,,,,,,,,,,,,,
0.40,-4.93,4530,,,,,,,,,,,,,
-0.33,-5.89,4533,,,,,,,,,,,,,
0.03,-5.82,4536,,,,,,,,,,,,,
-0.18,-5.86,4539,,,,,,,,,,,,,
-0.05,-5.53,4539,,,,,,,,,,,,,
0.26,-5.60,4542,,,,,,,,,,,,,
-0.02,-5.61,4545,,,,,,,,,,,,,
-0.12,-5.35,4548,,,,,,,,,,,,,
-0.24,-5.86,4551,,,,,,,,,,,,,
-0.48,-6.35,4554,,,,,,,,,,,,,
-0.20,-5.78,4554,,,,,,,,,,,,,
0.14,-5.69,4557,,,,,,,,,,,,,
-0.09,-5.81,4560,,,,,,,,,,,,,
-0.42,-5.88,4563,,,,,,,,,,,,,
-0.05,-5.50,4566,,,,,,,,,,,,,
-0.36,-5.39,4569,,,,,,,,,,,,,
-0.13,-5.19,4569,,,,,,,,,,,,,
-0.01,-5.54,4572,,,,,,,,,,,,,
0.12,-5.32,4575,,,,,,,,,,,,,
-0.05,-5.45,4578,,,,,,,,,,,,,
-0.24,-5.81,4581,,,,,,,,,,,,,
