unit_id,section_id,col_id,project_id,col_area,unit_name,strat_name_id,Mbr,Fm,Gp,SGp,t_age,b_age,max_thick,min_thick,outcrop,pbdb_collections,pbdb_occurrences
4692,929,117,1,3397.813,"Unnamed",,"","","","",0,0.0117,5,0,"surface",0,0
10054,2545,357,1,4576.894,"Unnamed",,"","","","",0,0.0117,20,1,"",0,0
5363,1271,155,1,60407.508,"Unnamed",,"","","","",0,1.7239,0,0,"",0,0
13099,3463,432,1,42690.191,"Lake Michigan Fm",1084,"","Lake Michigan","","",0,0.1951,20,0,"surface",0,0
6995,1771,253,1,1078.15,"Unnamed",,"","","","",0,0.0117,0,0,"surface",0,0
25446,7439,1193,7,22887.365,"unnamed",,"","","","",0,0.0088,0,0,"",0,0
30869,7988,1384,4,2810.864,"clay",,"","","","",0,0.3,2.8,2.8,"subsurface",0,0
3276,673,88,1,12515.966,"De Forest Fm",501,"","De Forest","","",0,0.0117,15,0,"surface",0,0
7075,1804,263,1,5785.591,"Unnamed",,"","","","",0,0.0117,0,0,"",0,0
4833,1050,126,1,9752.781,"Undifferentiated",,"","","","",0,2.58,7,0,"subsurface",0,0
14563,3863,478,1,6611.678,"Unnamed",,"","","","",0,0.0117,0,0,"surface",0,0
17492,4521,543,1,12477.054,"Undifferentiated",,"","","","",0,0.6538,25,0,"both",0,0
4575,871,112,1,3616.431,"Unnamed",,"","","","",0,0.0117,5,0,"surface",0,0
22592,6292,803,1,131843.375,"Unnamed",,"","","","",0,0.0088,0,0,"",0,0
25590,7476,1218,7,1961.988,"unnamed",,"","","","",0,0.0117,0,0,"",0,0
26519,7905,1298,4,2811.398,"diatomaceous mud",,"","","","",0,5.75,6,6,"subsurface",0,0
30411,7660,1373,4,2811.439,"clay",,"","","","",0,0.015,1.2,1.2,"subsurface",0,0
10213,2611,367,1,4956.988,"Unnamed",,"","","","",0,0.0117,20,1,"",0,0
12312,3287,440,1,18821.504,"Martinsville Fm",1237,"","Martinsville","","",0,0.6538,3,0,"both",0,0
7268,1903,278,1,5730.204,"Unnamed",,"","","","",0,0.0117,0,0,"",0,0
25558,7468,1214,7,601.293,"unnamed",,"","","","",0,0.0117,0,0,"",0,0
28518,7812,1344,4,2810.905,"calcareous clay",,"","","","",0,2,16.3,16.3,"subsurface",0,0
38387,9964,1666,1,6707.421,"unnamed",,"","","","",0,0.0117,0,0,"",0,0
7224,1878,275,1,3055.13,"Unnamed",,"","","","",0,0.0117,0,0,"",0,0
25287,7335,1173,7,7940.759,"unnamed",,"","","","",0,0.0117,0,0,"",0,0
33821,8308,1462,1,16556.043,"unnamed",,"","","","",0,0.0117,0,0,"",0,0
18760,4888,611,1,12242.685,"Unnamed",,"","","","",0,0.6538,0,0,"",0,0
38361,9951,1665,1,10492.648,"unnamed",,"","","","",0,0.0117,0,0,"",0,0
1890,292,54,1,14957.047,"Unnamed Bolson Deposits",,"","","","",0,0.0117,1500,0,"",0,0
31137,7964,1388,4,2811.329,"calcareous ooze",,"","","","",0,2,36.5,36.5,"subsurface",0,0
29103,7635,1348,4,2811.083,"clay",,"","","","",0,0.015,7.6,7.6,"subsurface",0,0
7144,1842,269,1,6919.949,"Unnamed",,"","","","",0,0.0117,0,0,"",0,0
6260,1508,198,1,2735.393,"Unnamed",,"","","","",0,0.0117,0,0,"surface",0,0
38328,9931,1663,1,16937.229,"unnamed",,"","","","",0,0.0117,0,0,"",0,0
7386,1947,287,1,22632.693,"Unnamed",,"","","","",0,0.0117,0,0,"",0,0
17750,4612,558,1,3055.733,"Unnamed",,"","","","",0,0.0117,130,0,"surface",0,0
30665,7661,1374,4,2811.383,"clay",,"","","","",0,0.015,0.7,0.7,"subsurface",0,0
4611,898,114,1,4579.002,"Unnamed",,"","","","",0,0.0117,10,0,"surface",0,0
6572,1610,227,1,9886.558,"Unnamed",,"","","","",0,1.7239,0,0,"",0,0
11100,2975,414,1,38226.535,"Unnamed",,"","","","",0,1.9379,0,0,"surface",0,0
22856,6422,818,1,8891.328,"alluvium",,"","","","",0,0.0117,0,0,"",0,0
32076,7685,1398,4,2811.428,"calcareous ooze",,"","","","",0,0.015,1,1,"subsurface",0,0
