Section Number,Geographic Name,Height (m),d13C_carb,d18O_carb,d13C_org,D13C,Percent carb.,TOC (%)
D821,English Head,10,0.25,-3.93,,,,
D821,English Head,11,0.4,-3.64,,,,
D821,"English
Head",12,0.48,-3.88,,,,
D821,English Head,13,0.28,-3.97,,,,
D821,English Head,14,0.57,-3.98,,,,
D821,English Head,15,0.66,-3.71,,,,
D821,English Head,16,0.68,-3.89,,,,
D821,"English
Head",17,0.69,-3.94,,,,
D821,English Head,18,0.8,-3.61,,,,
D821,English Head,19,0.69,-3.68,,,,
D821,"English
Head",20,0.41,-4.37,,,,
D821,English Head,21,0.33,-4.41,,,,
D821,English Head,22,0.36,-4.34,,,,
D821,English Head,23,0.6,-3.72,,,,
D821,English Head,24,0.76,-3.74,,,,
D801,"Junction
Cliff",1,1.4,-3.51,,,,
D801,"Junction
Cliff",2,1.66,-3.18,,,,
D801,"Junction
Cliff",3,1.56,-3.57,,,,
D801,"Junction
Cliff",4,1.65,-3.1,,,,
D801,"Junction
Cliff",5,1.82,-3.51,,,,
D801,"Junction
Cliff",6,1.85,-3.37,,,,
D801,"Junction
Cliff",7,1.83,-3.22,,,,
D801,"Junction
Cliff",8,1.63,-3.52,,,,
D801,"Junction
Cliff",9,1.61,-3.35,,,,
D801,"Junction
Cliff",10,1.16,-2.88,,,,
D802,N.A.,20,1.21,-3.44,,,,
D802,N.A.,21,1.2,-3.68,,,,
D802,N.A.,22,1.09,-3.58,,,,
D802,N.A.,23,0.93,-3.55,,,,
D802,N.A.,24,0.87,-3.6,,,,
D802,N.A.,25,0.87,-3.33,,,,
D802,N.A.,26,0.05,-3.12,,,,
D803,N.A.,32,0.97,-3.89,,,,
D803,N.A.,33,1.12,-3.72,,,,
D803,N.A.,34,1.1,-3.31,,,,
D803,N.A.,34.8,0.35,-4.18,,,,
D803,N.A.,36,0.6,-3.47,,,,
D803,N.A.,,,,,,,
D803,N.A.,46,0.99,-3.71,,,,
D803,N.A.,47,1.27,-3.48,,,,
D803,N.A.,48,1.07,-4.02,,,,
D804,"Laframboise
Point",53.1,0.11,-3.64,,,,
D804,"Laframboise
Point",54.1,0.53,-2.97,,,,
D804,"Laframboise
Point",55.1,0.6,-3.61,,,,
D804,"Laframboise
Point",56.1,0.44,-3.66,,,,
901,"Laframboise
Point",56.3,0.41,-3.91,,,,
901,"Laframboise
Point",56.4,0.54,-3.89,,,,
901,"Laframboise
Point",57,0.74,-3.96,,,,
D804,"Laframboise
Point",57.1,0.29,-3.61,,,,
901,"Laframboise
Point",57.2,-0.36,-3.97,,,,
901,"Laframboise
Point",57.5,0.32,-4.27,,,,
901,"Laframboise
Point",57.9,0.24,-3.72,,,,
D804,"Laframboise
Point",58.1,0.96,-3.53,,,,
901,"Laframboise
Point",58.5,0.16,-3.6,,,,
D804,"Laframboise
Point",59.1,0.42,-3.75,,,,
901,"Laframboise
Point",59.3,0.14,-3.83,,,,
901,"Laframboise
Point",60,0.14,-3.67,,,,
D804,"Laframboise
Point",60.2,0.49,-4.08,,,,
901,"Laframboise
Point",60.5,0.26,-3.57,,,,
901,"Laframboise
Point",61,0.13,-3.29,,,,
D804,"Laframboise
Point",61.1,0.27,-3.67,,,,
901,"Laframboise
Point",61.5,0.19,-3.53,,,,
901,"Laframboise
Point",62,0.41,-3.56,,,,
,Laframboise,,,,,,,
D804,Point,62.1,0.66,-3.59,,,,
,Laframboise,,,,,,,
901,Point,62.4,0.38,-3.31,,,,
,Laframboise,,,,,,,
901,Point,63,1.42,-2.86,,,,
,Laframboise,,,,,,,
D804,Point,63.1,1.7,-1.91,,,,
,Laframboise,,,,,,,
901,Point,63.3,1.38,-2.91,,,,
,Laframboise,,,,,,,
901,Point,64,1.56,-3.1,,,,
,Laframboise,,,,,,,
D804,Point,64.1,2.05,-2.82,,,,
,Laframboise,,,,,,,
901,Point,64.5,1.43,-3.66,,,,
,Laframboise,,,,,,,
901,Point,65,2.11,-3.79,,,,
,Laframboise,,,,,,,
D804,Point,65.1,2.7,-2.61,,,,
,Laframboise,,,,,,,
901,Point,65.2,1.76,-3.96,,,,
,Laframboise,,,,,,,
901,Point,65.5,1.6,-4.1,,,,
,Laframboise,,,,,,,
901,Point,65.7,1.77,-3.99,,,,
,Laframboise,,,,,,,
901,Point,66,1.4,-3.49,,,,
,Laframboise,,,,,,,
901,Point,66.1,2.38,-3.95,,,,
,Laframboise,,,,,,,
D804,Point,66.1,2.22,-2.98,,,,
,Laframboise,,,,,,,
901,Point,66.5,3.65,-2.7,,,,
,Laframboise,,,,,,,
901,Point,66.5,3.65,-2.1,,,,
,Laframboise,,,,,,,
901,Point,66.7,3.41,-2.29,,,,
,Laframboise,,,,,,,
901,Point,66.7,3.35,-2.1,,,,
,Laframboise,,,,,,,
901,Point,67,3.54,-2.82,,,,
,Laframboise,,,,,,,
901,Point,67,3.95,-1.98,,,,
,Laframboise,,,,,,,
D804,Point,67.1,3.83,-1.87,,,,
,Laframboise,,,,,,,
901,Point,67.2,3.59,-2.97,,,,
,Laframboise,,,,,,,
901,Point,67.4,4.61,-1.97,,,,
,Laframboise,,,,,,,
901,Point,67.5,3.65,-2.7,,,,
901,Laframboise,67.7,3.05,-2.94,,,,
,"Point
Laframboise",,,,,,,
901,Point,67.9,3.19,-2.35,,,,
,Laframboise,,,,,,,
D804,Point,68.1,3.53,-2.95,,,,
,Laframboise,,,,,,,
901,Point,68.3,3.76,-4.32,,,,
,Laframboise,,,,,,,
901,Point,68.8,3.75,-2.54,,,,
,Laframboise,,,,,,,
D804,Point,69.1,4.03,-1.96,,,,
,Laframboise,,,,,,,
D804,Point,69.3,3.1,-2.91,,,,
,Laframboise,,,,,,,
D804,Point,69.5,1.92,-2.88,,,,
,Laframboise,,,,,,,
D804,Point,69.8,1.6,-3.78,,,,
,Laframboise,,,,,,,
D804,Point,70,1.29,-3.63,,,,
,Laframboise,,,,,,,
901,Point,70.1,1.62,-3.05,,,,
,Laframboise,,,,,,,
D804,Point,70.5,0.98,-4.84,,,,
,Laframboise,,,,,,,
901,Point,70.6,0.85,-3.24,,,,
,Laframboise,,,,,,,
D804,Point,70.7,0.9,-3.57,,,,
,Laframboise,,,,,,,
D804,Point,71,0.73,-3.52,,,,
,Laframboise,,,,,,,
901,Point,71,0.66,-4.05,,,,
,Laframboise,,,,,,,
D804,Point,71.1,0.41,-3.54,,,,
,Laframboise,,,,,,,
901,Point,71.6,0.51,-3.35,,,,
,Laframboise,,,,,,,
901,Point,72,0.59,-4.26,,,,
,Laframboise,,,,,,,
D804,Point,72.1,0.33,-3.78,,,,
,Laframboise,,,,,,,
901,Point,72.3,-0.18,-3.86,,,,
,Laframboise,,,,,,,
901,Point,72.7,0.71,-3.85,,,,
,Laframboise,,,,,,,
D804,Point,73.1,0.44,-3.41,,,,
,Laframboise,,,,,,,
901,Point,73.2,0.52,-4.18,,,,
,Laframboise,,,,,,,
901,Point,73.5,0.39,-4.05,,,,
,Laframboise,,,,,,,
901,Point,74,0.2,-4.01,,,,
,Laframboise,,,,,,,
D804,Point,74.1,0.64,-3.43,,,,
901,"Laframboise
Point",74.4,0.45,-3.54,,,,
901,"Laframboise
Point",74.9,0.49,-3.49,,,,
D804,"Laframboise
Point",75.1,0.16,-3.71,,,,
901,"Laframboise
Point",75.7,0.2,-3.66,,,,
D804,"Laframboise
Point",76.1,0.2,-3.82,,,,
D805,"Laframboise
Point",80.1,0.39,-3.92,,,,
D805,"Laframboise
Point",81.1,0.49,-3.87,,,,
D805,"Laframboise
Point",82.1,0.31,-3.68,,,,
D805,"Laframboise
Point",83.1,0.21,-3.69,,,,
D805,"Laframboise
Point",84.1,0.13,-3.82,,,,
D805,"Laframboise
Point",85.1,0.33,-3.68,,,,
D805,"Laframboise
Point",86.1,0.24,-3.84,,,,
D805,"Laframboise
Point",87.1,0.16,-3.88,,,,
D805,"Laframboise
Point",88.1,0.59,-3.48,,,,
D805,"Laframboise
Point",89.1,0.36,-4.17,,,,
D805,"Laframboise
Point",90.1,0.44,-3.56,,,,
D805,"Laframboise
Point",91.1,0.24,-3.62,,,,
D805,"Laframboise
Point",92.1,0.5,-3.66,,,,
D805,"Laframboise
Point",93.1,0.22,-3.78,,,,
D805,"Laframboise
Point",94.1,0.27,-3.72,,,,
D805,"Laframboise
Point",95.1,0,-4.13,,,,
D805,"Laframboise
Point",98.1,-0.16,-4.15,,,,
D805,"Laframboise
Point",99.1,-0.33,-4.12,,,,
D806,"Laframboise
Point",103.1,-0.1,-3.59,,,,
D806,"Laframboise
Point",104.1,-0.04,-3.97,,,,
D806,Laframboise,104.1,-0.07,-3.92,,,,
,"Point
Laframboise",,,,,,,
D806,Point,105.1,-0.07,-3.7,,,,
,Laframboise,,,,,,,
D806,Point,106.1,-0.19,-3.59,,,,
,Laframboise,,,,,,,
D806,Point,107.1,-0.05,-3.34,,,,
,Laframboise,,,,,,,
D806,Point,108.1,0.06,-3.65,,,,
,Laframboise,,,,,,,
D806,Point,109.1,-0.01,-3.7,,,,
,Laframboise,,,,,,,
D806,Point,110.1,-0.04,-3.7,,,,
,Laframboise,,,,,,,
D806,Point,110.9,0.02,-3.82,,,,
